LVPos;LVText;EntityType;Layer;Handle;Length;Area
;;Polyline;Verm_Linie_Einfassungen_Bord_Zeiler_Leistenstein;8DAB;37.535;0
;;Polyline;Verm_Linie_Einfassungen_Bord_Zeiler_Leistenstein;8DAA;37.675;0
;;Line;Verm_Linie_Einfassungen_Bord_Zeiler_Leistenstein;8DA9;4.854;0
;;Line;0;8DA8;0.657;0
;;Line;Verm_Linie_Bauwerk;8DA7;2.745;0
;;Line;Verm_Linie_Bauwerk;8DA6;0.595;0
;;Line;Verm_Linie_Bauwerk;8DA5;1.797;0
;;Line;Verm_Linie_Bauwerk;8DA4;0.376;0
;;Line;Verm_Linie_Betonteil_Treppe;8DA3;0.711;0
;;Line;Verm_Linie_Betonteil_Treppe;8DA2;0.711;0
;;Line;Verm_Linie_Betonteil_Treppe;8DA1;2.129;0
;;Line;Verm_Linie_Betonteil_Treppe;8DA0;1.194;0
;;Line;Verm_Linie_Betonteil_Treppe;8D9F;2.771;0
;;Line;Verm_Linie_Betonteil_Treppe;8D9E;1.185;0
;;Polyline;Verm_Linie_Einfassungen_Bord_Zeiler_Leistenstein;8D9D;7.883;0
;;Polyline;Verm_Linie_Einfassungen_Bord_Zeiler_Leistenstein;8D9C;8.039;0
;;Polyline;Verm_Linie_Einfassungen_Bord_Zeiler_Leistenstein;8D9B;4.444;0
;;Polyline;Verm_Linie_Einfassungen_Bord_Zeiler_Leistenstein;8D9A;4.449;0
;;Line;Verm_Linie_Fahrbahn_unbefestigt;8D99;1.415;0
;;Line;Verm_Linie_Fahrbahn_unbefestigt;8D98;3.056;0
;;Line;Verm_Linie_Fahrbahn_unbefestigt;8D97;1.75;0
;;Line;Verm_Linie_Fahrbahn_unbefestigt;8D96;1.608;0
;;Line;Verm_Linie_Fahrbahn_unbefestigt;8D95;2.642;0
;;Line;Verm_Linie_Fahrbahn_unbefestigt;8D94;3.494;0
;;Line;Verm_Linie_Hecke;8D93;1.326;0
;;Line;Verm_Linie_Hecke;8D92;2.953;0
;;Line;Verm_Linie_Hecke;8D91;2.329;0
;;Line;Verm_Linie_Hecke;8D90;4.593;0
;;Line;Verm_Linie_Hecke;8D8F;4.84;0
;;Line;Verm_Linie_Hecke;8D8E;5.184;0
;;Line;Verm_Linie_Hecke;8D8D;5.355;0
;;Line;Verm_Linie_Hecke;8D8C;4.906;0
;;Line;Verm_Linie_Hecke;8D8B;4.906;0
;;Line;Verm_Linie_Hecke;8D8A;4.972;0
;;Line;Verm_Linie_Hecke;8D89;4.235;0
;;Line;Verm_Linie_Hecke;8D88;4.749;0
;;Line;Verm_Linie_Hecke;8D87;3.282;0
;;Line;Verm_Linie_Hecke;8D86;0.35;0
;;Line;Verm_Linie_Geländekante;8D39;9.071;0
;;Line;Verm_Linie_Geländekante;8D38;1.451;0
;;Line;Verm_Linie_Geländekante;8D37;9.24;0
;;Line;Verm_Linie_Geländekante;8D36;8.313;0
;;Line;Verm_Linie_Geländekante;8D33;5.856;0
;;Line;Verm_Linie_Geländekante;8D32;7.92;0
;;Line;Verm_Linie_Gleis_Achse;8D2B;61.439;0
;;Line;Verm_Linie_Gleis;8D2A;65.447;0
;;Line;Verm_Linie_Gleis;8D29;57.431;0
;;Line;Verm_Linie_Geländekante;8D28;3.297;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8D27;0.705;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8D26;0.485;0
;;Line;Verm_Linie_Betonteil_Treppe;8D25;1.74;0
;;Line;Verm_Linie_Betonteil_Treppe;8D24;4.736;0
;;Line;Verm_Linie_Betonteil_Treppe;8D23;7.264;0
;;Line;Verm_Linie_Betonteil_Treppe;8D22;6.812;0
;;Line;Verm_Linie_Betonteil_Treppe;8D21;4.785;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8D20;1.489;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8D1F;0.764;0
;;Line;Verm_Linie_Bauwerk;8D1E;425.037;0
;;Line;Verm_Linie_Bauwerk;8D1D;4.366;0
;;Line;Verm_Linie_Bauwerk;8D1C;7.539;0
;;Line;Verm_Linie_Bauwerk;8D1B;7.54;0
;;Line;Verm_Linie_Bauwerk;8D1A;5.463;0
;;Line;Verm_Linie_Geländekante;8D19;2.285;0
;;Line;Verm_Linie_Geländekante;8D18;2.596;0
;;Line;Verm_Linie_Geländekante;8D17;133.868;0
;;Line;Verm_Linie_Geländekante;8D16;15.146;0
;;Line;Verm_Linie_Geländekante;8D15;4.727;0
;;Line;Verm_Linie_Geländekante;8D14;3.409;0
;;Line;Verm_Linie_Geländekante;8D13;0.733;0
;;Line;Verm_Linie_Bauwerk;8D12;3.022;0
;;Line;Verm_Linie_Bauwerk;8D11;5.584;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8D10;0.705;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8D0F;0.485;0
;;Line;Verm_Linie_Betonteil_Treppe;8D0E;1.316;0
;;Line;Verm_Linie_Geländekante;8D0D;17.064;0
;;Line;Verm_Linie_Geländekante;8D0C;2.769;0
;;Line;Verm_Linie_Geländekante;8D0B;1.57;0
;;Line;Verm_Linie_Geländekante;8D0A;2.346;0
;;Line;Verm_Linie_Geländekante;8D09;5.478;0
;;Line;Verm_Linie_Geländekante;8D08;5.782;0
;;Line;Verm_Linie_Geländekante;8D07;4.652;0
;;Line;Verm_Linie_Geländekante;8D06;4.839;0
;;Line;Verm_Linie_Geländekante;8D05;6.203;0
;;Line;Verm_Linie_Geländekante;8D04;5.513;0
;;Line;Verm_Linie_Geländekante;8D03;3.296;0
;;Line;Verm_Linie_Geländekante;8D02;5.85;0
;;Line;Verm_Linie_Geländekante;8D01;6.229;0
;;Line;Verm_Linie_Geländekante;8D00;5.399;0
;;Line;Verm_Linie_Geländekante;8CFF;6.547;0
;;Line;Verm_Linie_Geländekante;8CFE;7.145;0
;;Line;Verm_Linie_Geländekante;8CFD;6.034;0
;;Line;Verm_Linie_Geländekante;8CFC;1.804;0
;;Line;Verm_Linie_Geländekante;8CFB;3.651;0
;;Line;Verm_Linie_Geländekante;8CFA;11.09;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8CF9;1.489;0
;;Line;Verm_Linie_Schaltschrank_Schächte;8CF8;0.764;0
;;Line;Verm_Linie_Betonteil_Treppe;8CF7;1.795;0
;;Line;Verm_Linie_Betonteil_Treppe;8CF6;4.743;0
;;Line;Verm_Linie_Betonteil_Treppe;8CF5;7.285;0
;;Line;Verm_Linie_Betonteil_Treppe;8CF4;6.845;0
;;Line;Verm_Linie_Betonteil_Treppe;8CF3;4.762;0
;;Line;RR_Beschriftung_Achse;8C94;0.606;0
;;Line;RR_Beschriftung_Achse;8C91;6.106;0
;;Line;RR_Beschriftung_Achse;8C8D;2.5;0
;;Polyline;RR_Beschriftung_Achse;8C8C;2.244;0
;;Line;RR_Beschriftung_Achse;8C89;8;0
;;Line;RR_Beschriftung_Achse;8C85;2.5;0
;;Polyline;RR_Beschriftung_Achse;8C84;2.244;0
;;Line;RR_Beschriftung_Achse;8C81;8;0
;;Line;RR_Beschriftung_Achse;8C7D;2.5;0
;;Polyline;RR_Beschriftung_Achse;8C7C;2.244;0
;;Line;RR_Beschriftung_Achse;8C7B;8;0
;;Circle;RR_Beschriftung_Achse;8C79;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C78;8;0
;;Circle;RR_Beschriftung_Achse;8C76;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C75;8;0
;;Circle;RR_Beschriftung_Achse;8C73;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C72;8;0
;;Circle;RR_Beschriftung_Achse;8C70;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C6F;8;0
;;Circle;RR_Beschriftung_Achse;8C6D;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C6C;8;0
;;Circle;RR_Beschriftung_Achse;8C6A;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C69;8;0
;;Circle;RR_Beschriftung_Achse;8C67;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C66;8;0
;;Circle;RR_Beschriftung_Achse;8C64;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C63;8;0
;;Circle;RR_Beschriftung_Achse;8C61;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C60;8;0
;;Circle;RR_Beschriftung_Achse;8C5E;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C5D;8;0
;;Line;RR_Beschriftung_Achse;8C5B;8;0
;;Circle;RR_Beschriftung_Achse;8C59;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C58;8;0
;;Line;RR_Beschriftung_Achse;8C56;8;0
;;Circle;RR_Beschriftung_Achse;8C54;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C53;8;0
;;Circle;RR_Beschriftung_Achse;8C51;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C50;8;0
;;Circle;RR_Beschriftung_Achse;8C4E;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C4D;8;0
;;Circle;RR_Beschriftung_Achse;8C4B;0.628;0.031
;;Line;RR_Beschriftung_Achse;8C4A;8;0
;;Line;Sparten$0$KB_Rohr_MW;8C3A;2.444;0
;;Line;Sparten$0$KB_Rohr_MW;8C39;13.052;0
;;Line;RR_Linie_Strichliert;8C2D;4.834;0
;;Line;RR_Linie_Quergefälle;8C21;5.5;0
